Specie Code,Taxon Name,Family,Trophic level
MAGE,Macropharyngodon geoffroy,Labridae,Small Invert. Feeder
MAGE,Macropharyngodon geoffroy,Labridae,Small Invert. Feeder
SADI,Sargocentron diadema,Holocentridae,Small Invert. Feeder
SAXA,Sargocentron xantherythrum,Holocentridae,Small Invert. Feeder
APAR,Apolemichthys arcuatus,Pomacanthidae,Small Invert. Feeder
CHTI,Chaetodon tinkeri,Chaetodontidae,Small Invert. Feeder
ZACO,Zanclus cornutus,Zanclidae,Small Invert. Feeder
ANCH,Anampses chrysocephalus,Labridae,Small Invert. Feeder
CHLU,Chaetodon lunula,Chaetodontidae,Small Invert. Feeder
CHAU,Chaetodon auriga,Chaetodontidae,Small Invert. Feeder
CHEP,Chaetodon ephippium,Chaetodontidae,Small Invert. Feeder
OSME,Ostracion meleagris,Ostraciidae,Small Invert. Feeder
ANCU,Anampses cuvier,Labridae,Small Invert. Feeder
ALSC,Aluterus scriptus,Monacanthidae,Small Invert. Feeder
PEAS,Pervagor aspricaudus,Monacanthidae,Small Invert. Feeder
PSEV,Pseudocheilinus evanidus,Labridae,Small Invert. Feeder
HAOR,Halichoeres ornatissimus,Labridae,Small Invert. Feeder
STBA,Stethojulis balteata,Labridae,Small Invert. Feeder
SCPA,Scorpaenodes parvipinnis,Scorpaenidae,Small Invert. Feeder
MABR,Malacanthus brevirostris,Malacanthidae,Small Invert. Feeder
MUVA,Mulloidichthys vanicolensis,Mullidae,Small Invert. Feeder
FOBR,Foa brachygramma,Apogonidae,Small Invert. Feeder
ATIN,Atherinomorus insularum,Atherinidae,Small Invert. Feeder
CHCI,Chaetodon citrinellus,Chaetodontidae,Small Invert. Feeder
COFU,Coryphopterus sp,Gobiidae,Small Invert. Feeder
FUDU,Fusigobius duospilus,Gobiidae,Small Invert. Feeder
PSMA,Psilogobius mainlandi,Gobiidae,Small Invert. Feeder
SAPU,Sargocentron punctatissimum,Holocentridae,Small Invert. Feeder
ANSP,Anampses sp,Labridae,Small Invert. Feeder
CAVE,Cantherhines verecundus,Monacanthidae,Small Invert. Feeder
PACH,Parupeneus chrysonemus,Mullidae,Small Invert. Feeder
LAFO,Lactoria fornasini,Ostraciidae,Small Invert. Feeder
DOEX,Doryrhamphus excisus excisus,Syngnathidae,Small Invert. Feeder
LAPH,Labroides-phthirophagus,Labridae,Small Invert. Feeder
LIZA,Synodontidae sp,Synodontidae,Small Predator
SCPP,Scorpaenopsis sp,Scorpaenidae,Small Predator
NEED,Belonidae sp,Belonidae,Small Predator
CONG,Congridae sp,Congridae,Small Predator
GYSP,Gymnothorax sp,Muraenidae,Small Predator
GYJA,Gymnothorax javanicus,Muraenidae,Small Predator
PAFO,Paracirrhites forsteri,Cirrhitidae,Small Predator
SYVA,Synodus variegatus,Synodontidae,Small Predator
SCDI,Scorpaenopsis diabolus,Scorpaenidae,Small Predator
SAFL,Saurida flamma,Synodontidae,Small Predator
OXUN,Oxycheilinus unifasciatus,Labridae,Small Predator
PLAR,Platybelone argalus,Belonidae,Small Predator
PACY,Parupeneus cyclostomus,Mullidae,Small Predator
SCCA,Scorpaenopsis cacopsis,Scorpaenidae,Small Predator
CEAR,Cephalopholis argus,Serranidae,Small Predator
CAFE,Carangoides ferdau,Carangidae,Small Predator
SCLY,Scomberoides lysan,Carangidae,Small Predator
CAOR,Carangoides orthogrammus,Carangidae,Small Predator
APFU,Aphareus furca,Lutjanidae,Small Predator
AUCH,Aulostomus chinensis,Aulostomidae,Small Predator
COCI,Conger cinereus,Congridae,Small Predator
GYME,Gymnothorax meleagris,Muraenidae,Small Predator
ENCA,Enchelynassa canina,Muraenidae,Small Predator
GYUN,Gymnothorax undulatus,Muraenidae,Small Predator
FICO,Fistularia commersonii,Fistulariidae,Small Predator
SPBA,Sphyraena barracuda,Sphyraenidae,Small Predator
GYFL,Gymnothorax flavimarginatus,Muraenidae,Small Predator
TATR,Taenianotus triacanthus,Scorpaenidae,Small Predator
SYBI,Synodus binotatus,Synodontidae,Small Predator
TATR,Taenianotus triacanthus,Scorpaenidae,Small Predator
SYBI,Synodus binotatus,Synodontidae,Small Predator
PTSP,Pterois sphex,Scorpaenidae,Small Predator
ANCO,Antennarius commerson,Antennariidae,Small Predator
TYCR,Tylosurus crocodilus,Belonidae,Small Predator
ELBI,Elagatis bipinnulata,Carangidae,Small Predator
PSDE,Pseudocaranx dentex,Carangidae,Small Predator
HALF,Hemiramphidae,Hemiramphidae,Small Predator
MYCH,Myripristis chryseres,Holocentridae,Small Predator
NEAU,Neoniphon aurolineatus,Holocentridae,Small Predator
PROL,Pristilepis oligolepis,Holocentridae,Small Predator
SAEN,Sargocentron ensifer,Holocentridae,Small Predator
CYLE,Cymolutes lecluse,Labridae,Small Predator
CYPR,Cymolutes praetextatus,Labridae,Small Predator
EPIN,Epibulus insidiator,Labridae,Small Predator
ENPA,Enchelycore pardalis,Muraenidae,Small Predator
GYST,Gymnothorax steindachneri,Muraenidae,Small Predator
MORA,Muraenidae,Muraenidae,Small Predator
MYMA,Myrichthys magnificus,Ophichthidae,Small Predator
EUAF,Euthynnus affinis,Scombridae,Small Predator
KAPE,Katsuwonus pelamis,Scombridae,Small Predator
SEBA,Sebastapistes ballieui,Scorpaenidae,Small Predator
SESP,Sebastapistes sp,Scorpaenidae,Small Predator
EPQU,Epinephelus quernus,Serranidae,Small Predator
SAGR,Saurida gracilis,Synodontidae,Small Predator
SYDE,Synodus dermatogenys,Synodontidae,Small Predator
SYUL,Synodus ulae,Synodontidae,Small Predator
